anime_id,title,genre,type,episodes,rating,members,year
32281,Kimi no Na wa.,Drama,Movie,1,9.37,200630,2016
5114,Fullmetal Alchemist: Brotherhood,Action,TV,64,9.26,793665,2009
28977,Gintama°,Action,TV,51,9.25,114262,2015
9253,Steins;Gate,Sci-Fi,TV,24,9.17,673572,2011
9969,Gintama&#039;,Action,TV,51,9.16,151266,2011
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy,TV,10,9.15,93351,2016
11061,Hunter x Hunter (2011),Action,TV,148,9.13,425855,2011
820,Ginga Eiyuu Densetsu,Drama,OVA,110,9.11,80679,1988
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Action,Movie,1,9.1,72534,2013
15417,Gintama&#039;: Enchousen,Action,TV,13,9.11,81109,2012
4181,Clannad: After Story,Drama,TV,24,9.06,456749,2008
28851,Koe no Katachi,Drama,Movie,1,9.05,102733,2016
918,Gintama,Action,TV,201,9.04,336376,2006
2904,Code Geass: Hangyaku no Lelouch R2,Action,TV,25,8.98,572888,2008
28891,Haikyuu!! Second Season,Comedy,TV,25,8.93,179342,2015
199,Sen to Chihiro no Kamikakushi,Adventure,Movie,1,8.93,466254,2001
23273,Shigatsu wa Kimi no Uso,Drama,TV,22,8.92,416397,2014
24701,Mushishi Zoku Shou 2nd Season,Adventure,TV,10,8.88,75894,2014
12355,Ookami Kodomo no Ame to Yuki,Fantasy,Movie,1,8.84,226193,2012
1575,Code Geass: Hangyaku no Lelouch,Action,TV,25,8.83,715151,2006
263,Hajime no Ippo,Comedy,TV,75,8.83,157670,2000
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Action,OVA,4,8.83,129307,1999
1,Cowboy Bebop,Action,TV,26,8.82,486824,1998
30276,One Punch Man,Action,TV,12,8.82,552458,2015
164,Mononoke Hime,Action,Movie,1,8.81,339556,1997
7311,Suzumiya Haruhi no Shoushitsu,Comedy,Movie,1,8.81,240297,2010
17074,Monogatari Series: Second Season,Comedy,TV,26,8.8,205959,2013
21939,Mushishi Zoku Shou,Adventure,TV,10,8.8,101351,2014
457,Mushishi,Adventure,TV,26,8.78,300030,2005
2001,Tengen Toppa Gurren Lagann,Action,TV,27,8.78,562962,2007
245,Great Teacher Onizuka,Comedy,TV,43,8.77,268487,1999
32983,Natsume Yuujinchou Go,Drama,TV,13,8.76,38865,2016
5258,Hajime no Ippo: New Challenger,Comedy,TV,26,8.75,88995,2009
28957,Mushishi Zoku Shou: Suzu no Shizuku,Adventure,Movie,1,8.75,32266,2015
11665,Natsume Yuujinchou Shi,Drama,TV,13,8.75,98431,2012
431,Howl no Ugoku Shiro,Adventure,Movie,1,8.74,333186,2004
11741,Fate/Zero 2nd Season,Action,TV,12,8.73,340973,2012
31757,Kizumonogatari II: Nekketsu-hen,Action,Movie,1,8.73,34347,2016
19,Monster,Drama,TV,74,8.72,247562,2004
12365,Bakuman. 3rd Season,Comedy,TV,25,8.71,133620,2012
1535,Death Note,Mystery,TV,37,8.71,1013917,2006
32366,Gintama°: Aizome Kaori-hen,Comedy,OVA,2,8.69,16947,2016
30654,Ansatsu Kyoushitsu (TV) 2nd Season,Action,TV,25,8.68,176475,2016
20583,Haikyuu!!,Comedy,TV,25,8.68,284498,2014
19647,Hajime no Ippo: Rising,Comedy,TV,25,8.68,66756,2013
4282,Kara no Kyoukai 5: Mujun Rasen,Action,Movie,1,8.68,111074,2008
10379,Natsume Yuujinchou San,Drama,TV,13,8.67,102322,2011
22135,Ping Pong The Animation,Psychological,TV,11,8.67,97187,2014
21329,Mushishi Special: Hihamukage,Adventure,Special,1,8.66,49036,2014
31043,Boku dake ga Inai Machi,Mystery,TV,12,8.65,402381,2016
7785,Yojouhan Shinwa Taikei,Mystery,TV,11,8.65,122531,2010
3297,Aria The Origination,Fantasy,TV,13,8.64,56162,2008
30709,Kamisama Hajimemashita: Kako-hen,Comedy,OVA,4,8.64,33422,2015
6114,Rainbow: Nisha Rokubou no Shichinin,Drama,TV,26,8.64,139474,2010
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Drama,TV,25,8.64,355839,2016
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Action,Movie,1,8.64,82253,2009
5300,Zoku Natsume Yuujinchou,Drama,TV,13,8.64,114173,2009
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama,TV,11,8.62,463835,2011
24415,Kuroko no Basket 3rd Season,Comedy,TV,25,8.62,184525,2015
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Sci-Fi,Movie,1,8.61,192424,2013
10408,Hotarubi no Mori e,Drama,Movie,1,8.61,197439,2011
28171,Shokugeki no Souma,Ecchi,TV,24,8.61,348951,2015
32995,Yuri!!! on Ice,Comedy,TV,12,8.61,103178,2016
21899,Gintama: Yorinuki Gintama-san on Theater 2D,Action,Movie,2,8.6,11104,2012
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,Action,TV,24,8.6,93657,2015
7472,Gintama Movie: Shinyaku Benizakura-hen,Action,Movie,1,8.59,51185,2010
777,Hellsing Ultimate,Action,OVA,10,8.59,297454,2006
22535,Kiseijuu: Sei no Kakuritsu,Action,TV,24,8.59,425457,2014
28735,Shouwa Genroku Rakugo Shinjuu,Drama,TV,13,8.59,71295,2016
12431,Uchuu Kyoudai,Comedy,TV,99,8.59,72958,2012
28805,Bakemono no Ko,Adventure,Movie,1,8.58,80825,2015
578,Hotaru no Haka,Drama,Movie,1,8.58,174878,1988
16894,Kuroko no Basket 2nd Season,Comedy,TV,25,8.58,243325,2013
5028,Major S5,Comedy,TV,25,8.58,28653,2009
21,One Piece,Action,TV,NA,8.58,504862,1999
