anime_id,title,genre,type,episodes,rating,members,year
32281,Kimi no Na wa.,Drama,Movie,1.0,9.37,200630,2016.0
32281,Kimi no Na wa.,Romance,Movie,1.0,9.37,200630,2016.0
32281,Kimi no Na wa.,School,Movie,1.0,9.37,200630,2016.0
32281,Kimi no Na wa.,Supernatural,Movie,1.0,9.37,200630,2016.0
5114,Fullmetal Alchemist: Brotherhood,Action,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Adventure,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Drama,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Fantasy,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Magic,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Military,TV,64.0,9.26,793665,2009.0
5114,Fullmetal Alchemist: Brotherhood,Shounen,TV,64.0,9.26,793665,2009.0
28977,Gintama°,Action,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Comedy,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Historical,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Parody,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Samurai,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Sci-Fi,TV,51.0,9.25,114262,2015.0
28977,Gintama°,Shounen,TV,51.0,9.25,114262,2015.0
9253,Steins;Gate,Sci-Fi,TV,24.0,9.17,673572,2011.0
9253,Steins;Gate,Thriller,TV,24.0,9.17,673572,2011.0
9969,Gintama&#039;,Action,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Comedy,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Historical,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Parody,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Samurai,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Sci-Fi,TV,51.0,9.16,151266,2011.0
9969,Gintama&#039;,Shounen,TV,51.0,9.16,151266,2011.0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy,TV,10.0,9.15,93351,2016.0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Drama,TV,10.0,9.15,93351,2016.0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,School,TV,10.0,9.15,93351,2016.0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Shounen,TV,10.0,9.15,93351,2016.0
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Sports,TV,10.0,9.15,93351,2016.0
